Name,naAromAtom,nAromBond,BCUTw-1l,BCUTw-1h,BCUTc-1l,BCUTc-1h,BCUTp-1l,BCUTp-1h,nBonds,nBonds2,nBondsS,nBondsS2,nBondsS3,nBondsD,nBondsD2,nBondsT,nBondsQ,nBondsM,SpMax1_Bhm,SpMax2_Bhm,SpMax3_Bhm,SpMax4_Bhm,SpMax5_Bhm,SpMax6_Bhm,SpMax7_Bhm,SpMax8_Bhm,SpMin1_Bhm,SpMin2_Bhm,SpMin3_Bhm,SpMin4_Bhm,SpMin5_Bhm,SpMin6_Bhm,SpMin7_Bhm,SpMin8_Bhm,SpMax1_Bhv,SpMax2_Bhv,SpMax3_Bhv,SpMax4_Bhv,SpMax5_Bhv,SpMax6_Bhv,SpMax7_Bhv,SpMax8_Bhv,SpMin1_Bhv,SpMin2_Bhv,SpMin3_Bhv,SpMin4_Bhv,SpMin5_Bhv,SpMin6_Bhv,SpMin7_Bhv,SpMin8_Bhv,SpMax1_Bhe,SpMax2_Bhe,SpMax3_Bhe,SpMax4_Bhe,SpMax5_Bhe,SpMax6_Bhe,SpMax7_Bhe,SpMax8_Bhe,SpMin1_Bhe,SpMin2_Bhe,SpMin3_Bhe,SpMin4_Bhe,SpMin5_Bhe,SpMin6_Bhe,SpMin7_Bhe,SpMin8_Bhe,SpMax1_Bhp,SpMax2_Bhp,SpMax3_Bhp,SpMax4_Bhp,SpMax5_Bhp,SpMax6_Bhp,SpMax7_Bhp,SpMax8_Bhp,SpMin1_Bhp,SpMin2_Bhp,SpMin3_Bhp,SpMin4_Bhp,SpMin5_Bhp,SpMin6_Bhp,SpMin7_Bhp,SpMin8_Bhp,SpMax1_Bhi,SpMax2_Bhi,SpMax3_Bhi,SpMax4_Bhi,SpMax5_Bhi,SpMax6_Bhi,SpMax7_Bhi,SpMax8_Bhi,SpMin1_Bhi,SpMin2_Bhi,SpMin3_Bhi,SpMin4_Bhi,SpMin5_Bhi,SpMin6_Bhi,SpMin7_Bhi,SpMin8_Bhi,SpMax1_Bhs,SpMax2_Bhs,SpMax3_Bhs,SpMax4_Bhs,SpMax5_Bhs,SpMax6_Bhs,SpMax7_Bhs,SpMax8_Bhs,SpMin1_Bhs,SpMin2_Bhs,SpMin3_Bhs,SpMin4_Bhs,SpMin5_Bhs,SpMin6_Bhs,SpMin7_Bhs,SpMin8_Bhs,SCH-3,SCH-4,SCH-5,SCH-6,SCH-7,VCH-3,VCH-4,VCH-5,VCH-6,VCH-7,SpMax_Dt,SpDiam_Dt,SpAD_Dt,SpMAD_Dt,EE_Dt,VE1_Dt,VE2_Dt,VE3_Dt,VR1_Dt,VR2_Dt,VR3_Dt,nAtomP,MDEC-11,MDEC-12,MDEC-13,MDEC-14,MDEC-22,MDEC-23,MDEC-24,MDEC-33,MDEC-34,MDEC-44,MDEO-11,MDEO-12,MDEO-22,MDEN-11,MDEN-12,MDEN-13,MDEN-22,MDEN-23,MDEN-33,MLFER_A,MLFER_BH,MLFER_BO,MLFER_S,MLFER_E,MLFER_L,MPC2,MPC3,MPC4,MPC5,MPC6,MPC7,MPC8,MPC9,MPC10,TPC,piPC1,piPC2,piPC3,piPC4,piPC5,piPC6,piPC7,piPC8,piPC9,piPC10,TpiPC,R_TpiPCTPC,nRing,n3Ring,n4Ring,n5Ring,n6Ring,n7Ring,n8Ring,n9Ring,n10Ring,n11Ring,n12Ring,nG12Ring,nFRing,nF4Ring,nF5Ring,nF6Ring,nF7Ring,nF8Ring,nF9Ring,nF10Ring,nF11Ring,nF12Ring,nFG12Ring,nTRing,nT4Ring,nT5Ring,nT6Ring,nT7Ring,nT8Ring,nT9Ring,nT10Ring,nT11Ring,nT12Ring,nTG12Ring,nHeteroRing,n3HeteroRing,n4HeteroRing,n5HeteroRing,n6HeteroRing,n7HeteroRing,n8HeteroRing,n9HeteroRing,n10HeteroRing,n11HeteroRing,n12HeteroRing,nG12HeteroRing,nFHeteroRing,nF4HeteroRing,nF5HeteroRing,nF6HeteroRing,nF7HeteroRing,nF8HeteroRing,nF9HeteroRing,nF10HeteroRing,nF11HeteroRing,nF12HeteroRing,nFG12HeteroRing,nTHeteroRing,nT4HeteroRing,nT5HeteroRing,nT6HeteroRing,nT7HeteroRing,nT8HeteroRing,nT9HeteroRing,nT10HeteroRing,nT11HeteroRing,nT12HeteroRing,nTG12HeteroRing,WTPT-1,WTPT-2,WTPT-3,WTPT-4,WTPT-5
"11",0,0,11.899999999999997,18.998407960216635,-0.3739774902311034,0.23201986007584707,4.475974764954783,10.279939509293374,31.0,53.0,46.0,46.0,24.0,7.0,7.0,0.0,0.0,7.0,3.927398728370086,3.8075281844385627,3.5605257687928575,3.336918216584925,3.2260593518484613,3.0768521246731786,2.8789737075310464,2.802413080280453,1.9268446847782101,1.8689475047212565,1.7069963000696258,1.6239419909679598,1.513357613682942,1.4102558397517428,1.1996099472947979,1.0879232155092078,3.8878562166725876,3.6925312330538342,3.46442027574532,3.247334973734882,3.1544600702954875,3.0158214121679316,2.767453892949221,2.6710902595694828,1.9685243929553533,1.908264012585522,1.7658486342595874,1.617717330775362,1.5016196659508243,1.4171554105735453,1.1716057940648748,1.1092943520281378,3.9600918197762423,3.8488661464027993,3.647740180648762,3.405659447141245,3.303588235571528,3.232045440996926,2.928412996542595,2.914533679896226,1.8644567334097755,1.7506823083211256,1.5612377383325267,1.3934450955957365,1.2679274224965067,1.1881537057837332,0.9000709283962858,0.848826223017296,3.8827055870115297,3.6698937729374643,3.4498030484033997,3.2341637100864444,3.151435802668779,3.024026565600071,2.761074074695738,2.646281560131429,1.985325038948154,1.9160751999212784,1.779356120739008,1.6012908297802575,1.4824160324988584,1.4202273829093979,1.1448922192538025,1.1170371284091352,3.9842000284163555,3.8931365600027674,3.6918487896401193,3.442508983381183,3.356156935355645,3.307870413420269,2.9975688892443983,2.950532070713166,1.8504110682598567,1.7104984544211215,1.5189083205177554,1.3351132598695095,1.2255756929937267,1.1162545719915122,0.851422472098616,0.7640633580318827,5.240391764523801,4.975547715554222,4.9572621062876925,3.8788836485375264,3.850495271249193,3.7486316677074867,3.5042111687703086,3.154731563561927,1.7927852118420209,1.7458637931566459,1.4996186953828319,1.4469748818520825,1.320947742729138,1.1771644676192838,0.8887339377852872,0.8202606688128063,0.0,0.0,0.11785113019775793,0.35830498571017655,0.6122949697794122,0.0,0.0,0.0625,0.141572955391879,0.18339262928441957,296.94450264694683,427.56097409680046,593.8890052938937,21.210321617639057,296.94450264694683,0.16746580730988442,0.005980921689638729,-5.003533035252842,311.7728656743673,11.134745202655976,16.07836979856597,9,0.0,0.0,0.0,0.0,8.549784568019273,21.792901216531803,0.0,9.743611534781909,0.0,0.0,0.16666666666666669,0.2519763153394848,0.0,0.0,0.3510694655824727,0.25,0.6506976368304991,0.7211247851537042,0.0,0.9009999999999999,3.5340000000000007,3.552,3.2840000000000003,2.4990000000000006,14.713000000000003,44.0,58.0,79.0,97.0,102.0,113.0,118.0,126.0,131.0,927.0,3.6635616461296463,4.174387269895637,4.653960350157523,5.1647859739235145,5.583496308781699,5.765191102784844,5.966146739123692,6.131226489483141,6.289715570908998,6.490723534502507,8.01829613851552,3.274002157497303,4.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,57.52580229168587,2.054492938988781,25.98675809745764,8.177773966365116,15.25596598109013
"100",0,0,11.900000000000002,18.998408135307617,-0.3033502409315033,0.12426656855813882,4.281618398529571,11.473893856221235,36.0,67.0,60.0,60.0,29.0,7.0,7.0,0.0,0.0,7.0,3.99924818909727,3.832189912152286,3.73744415515316,3.530826943091481,3.3745899268427575,3.0261113106492727,3.019548212706774,2.8188177797798613,1.9152990347209362,1.7972454039642196,1.7809190600097853,1.6498173816154345,1.5557266136002157,1.4831349930415423,1.367492832634835,1.3468417138773625,3.942501647403136,3.788609750498678,3.6626425991475218,3.426872679560712,3.3370767093255265,2.9792322914305283,2.955473816302596,2.7231995775508366,1.9136653356809648,1.7941156632966047,1.7700070916213095,1.6919873353369328,1.6020849030581048,1.4846576767063278,1.362865045277275,1.348332964985075,4.04378247348975,3.8706276473276895,3.782873639504575,3.606855467331618,3.504295556030814,3.2042401484153613,3.185380906007949,2.9129413381932756,1.8337169502596586,1.6117828894005084,1.5472680767987659,1.4860556730489407,1.3715979621018521,1.3131615628235591,1.138666463506504,1.0576852268767387,3.9377546274236064,3.78800147394704,3.6512224559129587,3.413471336526321,3.345215300946245,2.989707080351555,2.9573797648656694,2.714983841770278,1.9108157367158713,1.7926416407563837,1.7642787698493316,1.6854896378134452,1.6020370175552017,1.4801330007577722,1.342591393216112,1.333012271925323,4.087364206109749,3.9108892290594706,3.8256044409225014,3.681473396899676,3.571864323098835,3.2997055458810043,3.2772275244566567,3.0070880217617,1.8136126749826404,1.5693911053982739,1.4751675964150213,1.427712724592532,1.3044534194929667,1.2659978625530963,1.057040888349662,0.9682964712509747,5.088523294274124,4.046308228767626,3.98665102883824,3.7376417095027725,3.5879063977016923,3.4747863030507795,3.3476535799976963,3.181151104234723,1.7498793827150014,1.653608944587301,1.6384152508079464,1.5899306957495098,1.5114079456754272,1.3068341109343844,1.1651565890460431,1.0761303398630593,0.20412414523193154,0.40652626479257087,0.4611788290125077,1.379281997913056,2.0025196837969554,0.20412414523193154,0.3907372072107787,0.29651560562042184,0.7282707444010894,0.8045841658280235,326.7001461971643,459.2934053407863,653.4002923943285,20.418759137322766,326.7001461971643,0.1347102438079567,0.004209695118998647,-6.414813278081789,359.96640940803275,11.248950294001023,18.83523430366995,12,0.06666666666666665,3.4844767928880995,1.770378814682595,0.2672612419124244,13.698350201949468,19.90694608979751,3.4425799735103664,4.978522628426022,2.476871056846167,0.0,0.0,0.0,0.0,0.0,0.6247879873840512,0.8630543739971821,1.265850472235325,3.5254016077132238,1.1052094495921163,0.33699999999999997,1.7259999999999998,1.7090000000000003,2.5700000000000003,2.567,15.220999999999998,53.0,74.0,102.0,128.0,157.0,195.0,234.0,275.0,301.0,1587.0,3.784189633918261,4.30406509320417,4.8283137373023015,5.313205979041787,5.666426688112432,5.966146739123692,6.306275286948016,6.637258031284457,6.947937068614969,7.201916317531627,8.485083137498004,3.050409577819786,5.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.70867871341862,2.053396209794332,27.88354425593787,0.0,25.351875102573924
"10",0,0,11.899999999999999,31.97307466819183,-0.30271758622274647,0.3418287197927961,4.480806758816826,14.461603175066267,40.0,71.0,60.0,60.0,29.0,10.0,10.0,1.0,0.0,11.0,4.723124898441365,4.032106413741948,3.834602780157642,3.6356120330330453,3.5096963769129608,3.4258764320533777,3.2982668759289253,3.1908085591129334,1.9502045187640085,1.869842822756714,1.8062995504513824,1.7241710785035247,1.6179228994247037,1.5359020732189308,1.4552545309623959,1.3824415063437903,3.9670663334994467,3.8017722154549016,3.671658179371902,3.488056449953315,3.4259960857051914,3.3576137058406594,3.1492138285060163,2.914971411619966,2.0251943352104123,1.9162576733520595,1.8206396112397991,1.7322605600038434,1.6559760066687514,1.6217524578427327,1.4942441208833028,1.3901624905694165,4.062689809076748,3.884174118996347,3.7681951146527233,3.6365585910255493,3.567629662142931,3.505177285373184,3.370572595470151,3.0565269975228024,1.919507117002273,1.8091097222934542,1.6305511019739398,1.58912536563418,1.4599834201963833,1.4525836511201256,1.2354168589589671,1.1736736422867557,4.101878775514715,3.8237583620790123,3.7197148390526773,3.5015741533943023,3.4822548537860523,3.384165501812084,3.1062846205949572,2.9299358329229097,2.0030235358479063,1.8772262241571724,1.791130912281821,1.7118566059573155,1.6141601113032087,1.612285732982868,1.5165866576539622,1.3344566060403507,4.047299170147706,3.8967645061073095,3.795431699968172,3.682411442463339,3.592645315986962,3.537479936207898,3.387900830553575,3.112948208156206,1.926944453467927,1.8089317983276714,1.587404440038932,1.568860594394214,1.418869103191457,1.3884283102423989,1.2147304601562938,1.1457801722820076,5.134352835900108,4.824876604525667,4.671541951312446,4.082242990654215,4.046297741279997,3.8070068659102456,3.56229353206707,3.516349101945518,2.0110590023947323,1.7792589233087235,1.7606130585081954,1.6420515040900374,1.5616993772885808,1.504521157968468,1.2841447638994143,1.2226480788078413,0.0,0.0,0.24285113019775795,0.4374182138033242,0.7729435636062322,0.0,0.0,0.23680339887498947,0.293013691052771,0.40089847594101335,370.6873657919335,514.2342761024615,741.3747315838671,20.037154907672083,370.6873657919335,0.13070567726536345,0.00353258587203685,-7.528786721092478,475.70739250124444,12.856956554087688,22.8097708912333,18,0.3750000000000001,4.644178137908494,3.5370916714584975,0.4099138248797977,13.711040590143565,23.803091660685432,3.382509821573856,7.674287799317687,2.0149533386884735,0.0,0.454280148208035,0.454280148208035,0.0,0.0,0.6204032394013999,0.0,1.2987937983388658,0.0,0.0,-0.17400000000000002,2.7050000000000005,2.678000000000001,4.38,3.159,19.701,58.0,75.0,96.0,115.0,139.0,162.0,197.0,223.0,246.0,1388.0,3.970291913552122,4.499809670330265,4.948759890378168,5.429345628954441,5.908082938168931,6.29156913955832,6.717804695023691,7.118826249062078,7.44716835960004,7.77863014732581,8.937743936942443,5.484870317002882,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.8201418231708,2.0221659952208326,31.648671776686403,10.268540962386773,15.023746189483042
