1,2,3
-579.16766,13.752866,0.11069352
360.82648,-24.331366,11.754744
653.2786,0.467828,-5.8461246
1399.7632,47.906166,-3.9512846
81.15638,6.283196,6.74774
-782.19617,5.27304,4.0270176
-872.30035,10.223796,-8.052429
-872.22424,17.428469,-7.082589
-760.36945,14.423674,-3.4159086
-854.9887,6.6424274,1.2521218
-605.2691,24.823868,1.120364
-493.35406,23.434107,2.353113
-608.9638,18.909027,2.8694668
-554.3068,8.346929,12.885949
-555.6265,1.6873538,11.962858
-526.2456,-5.7137003,-2.4961917
-617.6033,17.719185,2.073198
-619.6363,19.254732,-3.7157962
-532.14575,-2.058954,-5.362286
-554.7534,4.512062,-12.2947645
-476.1363,-8.562051,-1.4281746
-396.4948,-2.5800204,6.615109
-393.84262,-2.11959,-0.32758403
-407.15408,-16.098763,-4.2554445
-493.68982,21.985968,7.9567766
-611.94745,23.553537,-0.86553454
-852.50867,12.035357,6.2547565
-784.31573,8.067058,-6.7014246
-746.0065,7.505363,-11.2143135
-598.6179,20.9627,3.8139095
-451.05957,-10.032059,-6.4796557
-591.4705,-3.9314985,-3.517768
-606.0599,20.888504,-4.1990924
-742.9741,14.725878,9.81238
-329.26373,-4.4776926,2.9020534
-328.07462,0.32335874,0.15892893
-696.47815,-1.622213,-0.2544671
-625.5167,-2.32471,7.1247153
-381.16718,-3.8156242,5.6541367
-625.55597,-8.454202,-2.0108414
-1143.1721,18.335695,-4.134897
-378.04547,-7.222026,9.844661
-316.18747,9.7968025,-2.6118886
-320.06622,6.1322823,-7.2188473
242.96147,0.8079065,-3.5502396
71.47641,33.11405,-10.402722
107.06003,-16.431162,-10.625883
-152.27562,-14.5346575,3.255728
-189.97563,-14.103065,-5.3517923
-82.3223,-11.895444,-11.204856
714.01556,11.571642,-9.327014
34.504013,-10.203736,9.346331
-145.17513,-19.154587,-6.366873
-225.71796,-23.615341,0.15788047
-71.98784,-14.311736,-6.079106
-24.694366,-18.79075,9.335357
-126.94901,-1.8120933,8.10404
-25.789259,-12.522692,7.771414
-3.8869708,-28.13416,-4.3105674
171.31674,11.774162,-4.398338
419.23578,-5.0585146,-4.0472875
-307.1164,-7.495006,5.6918707
-96.77312,1.6443571,-3.645574
292.2229,-3.1980731,0.693596
-460.8046,-4.842874,3.6805134
554.134,-7.423619,1.2962437
212.50131,-24.235209,4.060223
261.6772,-2.3091931,-5.449921
407.2108,-19.483274,2.5218594
450.50262,-23.263971,-3.271239
448.37946,-25.863674,5.2698245
408.50073,-20.863358,9.086707
-258.80222,-1.802711,-13.440712
151.83014,-18.188541,-3.636206
128.43604,-12.883432,-16.142992
-74.92171,-11.66316,-12.13361
-16.073044,1.2053832,17.07533
-69.89993,-8.6294985,-9.75171
-75.07484,-8.010745,-6.2350907
