,nAcid,ALogP,ALogp2,AMR,naAromAtom,nAromBond,nN,nO,ATS6m,ATS8m,ATS5v,ATS6v,ATS7v,ATS8v,ATS6e,ATS7e,ATS8e,ATS6p,ATS7p,ATS8p,ATS7i,ATS8i,ATS1s,ATS2s,ATS6s,ATS7s,ATS8s,AATS2m,AATS5m,AATS6m,AATS7m,AATS8m,AATS1v,AATS2v,AATS3v,AATS4v,AATS5v,AATS6v,AATS7v,AATS8v,AATS2e,AATS4e,AATS5e,AATS6e,AATS7e,AATS8e,AATS0p,AATS1p,AATS3p,AATS4p,pChemBL
1339,0.67957938645473,0.6656676426428471,0.0031662453970298034,-0.09255463751352701,-0.028701174347791313,0.48256487720617414,-0.6662523408530759,-0.31776453410471867,-1.3005080164025657,0.3895398506658367,-0.749931746964496,0.15619008192703504,0.9149950824140506,0.10212383979319001,-0.5139313673624364,-0.3279379536372001,-1.1329231112743634,0.017905412923390963,-0.8604576239437403,-0.3387583537049158,0.40957028037569343,1.0780668298136182,-0.7734752228233206,-0.3270520839710178,-0.20510944455350993,-0.5436240036990228,-0.3253338649843778,-0.05282926793922379,0.014616337448786336,1.698629037120816,1.0569150663122597,0.41783156872711014,1.321188547891228,-1.2334599131350452,1.0852941562617124,1.237811325882933,2.2612689790193445,0.6476770050391912,-0.3789311256763274,0.7522718982311969,0.5487297685084015,0.5416229106449209,0.6088277266855033,0.5408673610404963,0.5859053216185397,0.5636042389770705,0.8580432917542542,-0.34924670531133967,-0.6731329795701523,0.9637088798447765,7.07
875,-0.07966640573793751,-0.12736801240657405,-0.09413020704139573,-0.08534265174759724,0.7502823171939442,-0.10794757518341694,1.1288799161065233,0.6816754509239932,-0.47222028301918584,0.11115526988381984,0.4432913243043044,0.9050375484627553,-0.2093150280286734,-0.14277274804549833,0.9859307062902414,0.794797555426,-0.20726763330035827,-0.015305792604130359,0.21119366946916343,0.020746937662555063,0.8572443406326818,-0.265394202050523,0.9634202272533684,0.6988913874975461,-0.796433307639802,-0.8838287073913003,0.5133473115580703,0.1476276757930297,-0.30076124276424915,0.5023562877801825,0.17174930452084552,0.41957352777706264,0.13091620714170712,0.009784518570157916,0.7685839786745278,0.5269056205225201,-0.5284694730693209,-0.3845327361634377,0.43276985816698144,-0.5269860548431139,0.330308857391544,0.2530756960731103,0.318807939674672,0.36752019536632674,0.30234418185061396,0.29253994299212976,-0.37569598317152975,0.3761215878979107,0.4644057694547843,-0.40074930738687004,7.62
1891,-1.5981579901232725,-1.5812667133305127,-0.14284347680381979,0.024106924647089426,-0.4219712623461457,-1.4366005930599968,-1.4333410297458393,-0.3039981413421028,-0.37001233189686256,-1.073410821908202,-0.6682239306338433,-1.1453791474725095,-1.1221030508160468,-1.2279492718892238,-1.3653853503734938,-0.3827823237550578,-0.5604668226703544,-1.1831990681428188,-0.8827415435190316,-1.3189364092988296,-0.8310354652065556,-1.0816583574916556,-1.3360517142495112,-0.4335160090181438,-0.43237688974518074,-0.12310786962370476,-0.6125888268215648,-0.8546570428682378,-0.9998064274201954,-1.564001449884587,-0.3141803140610186,-2.0794084359766636,0.5705491297294384,0.6822667374124898,-1.2900321756421729,-0.6833504770927108,-1.109657627417742,-0.014286781093780634,-0.9600619749786384,0.322627018378705,-1.146000068411468,-1.2692998543203997,-1.3589266856035935,-1.4628058469084717,-1.3996733539855375,-1.3800948642224702,-1.2409043181571333,-0.34924670531133967,0.4834036894052568,-0.7034467985227763,6.03
2702,-0.6870630394920715,-0.7882310582810916,-0.18749487091294254,-0.1364566878492359,-0.07204917869149648,-0.8460881406704057,-0.01070908252868662,0.3961775374273957,0.19371328253428427,-0.8743638702585979,0.3973875349963136,-0.40832917314379596,-1.1012713864304147,0.1411048029493068,-0.26679757543813526,0.44856812209709174,-0.5507655444911764,-0.9354012828398489,0.27287676797273397,-0.17595900988981036,-0.4891852461415797,-1.1309539582083903,-0.2337018335519073,0.6705277429691399,0.2653968039946457,1.9008395865649699,-0.8422943721261897,-0.2532862116714773,-0.5327574674420669,-1.564001449884587,-0.8062626265676179,-2.0794084359766636,0.4410637879394816,0.18445522828133834,-0.9733219980549882,-0.6833504770927108,-1.109657627417742,-1.4210300052601461,0.811563650627192,-0.5569837829409227,-0.8035088393484959,-1.05009935819675,-1.1671403910982732,-1.078796682977824,-1.0699493755942935,-1.102449193406951,-1.0836264978291579,-0.7119308519159648,0.9397669586475791,-1.6663939831768098,7.14
79,-0.6870630394920715,-0.7882310582810916,0.21565215174991106,-0.12044999070310784,0.0371482260284866,-0.9937162537678035,-0.9052180297340757,-0.4625298941666007,-0.6664687379582579,-1.6465450994084903,0.3756919835937832,-0.9304901756317197,-1.552646037245281,-0.32306943434499763,-1.0176830792238247,-0.14087328996989376,-0.8650962895038079,-1.375630214808336,0.3489597105696479,-0.5260315228277064,-0.9148569790268808,-1.3830579855375125,-0.9734260550029902,-0.28428836870182295,-0.15700830099833155,0.8171948110700873,-0.5281149973817048,-0.8546570428682378,-0.7868849887062809,-0.1561066429608755,-1.6223720627371014,0.4420653058429035,0.03257226211498056,0.6822667374124898,-1.6067423532293577,-0.3854929854775179,-0.6630691343136699,-0.26561663626222004,-0.9083013325306593,-0.07895547067261029,-1.1503322740803619,-1.4451397585219885,-1.4812540684170141,-1.5361519964401458,-1.619584809618054,-1.511902276197477,-1.2450520621712722,-0.34924670531133967,-0.7225024612204962,-0.3499025374810819,6.75
2774,0.22403191113912949,0.004804596768329457,0.3277331037195712,0.04090339724530842,0.15036013338649365,0.3349367641087764,0.30270148864058555,1.170921127854094,1.3552049698492734,-0.7798939968804496,0.6675659984665406,-0.08962889584664409,-1.0847797699448614,0.7082268708308603,0.06491638078900956,0.367623655211399,1.2226201506593437,-0.8456121816162999,0.44638363391357816,1.121928168602759,-0.20825533928124154,-1.0524128986787238,0.05114715928717807,0.3176475546287119,1.0983409432216984,-0.5034682817034085,0.6468330654353487,1.5508262819188043,1.1952591848310885,-1.564001449884587,0.27864363677876663,-2.0794084359766636,-0.6149103965465137,-0.5666288102192314,0.29351871229375065,-0.6833504770927108,-0.7818181632556469,-0.35942989585011115,-0.03778143681464683,-0.0837938139141923,0.18618702998084483,-0.13311401973333556,-0.17119136995328954,-0.22200901818270422,-0.2706666219996133,-0.24114655157275552,-0.7913230276763947,0.3761215878979107,-0.16205134019065343,-0.2632249220600836,6.0
2625,-0.6870630394920715,-0.656058449106188,-0.1450520011717311,-0.04510800482567796,-0.31338550612308186,-0.9937162537678035,-0.06917155132476217,-0.5427462581737572,0.45881744044014705,-0.4426014436729394,-0.6622872911236699,0.3862638797411701,-0.3638326023123785,0.8739738051710906,0.20717774470294179,-1.4873441322618737,-0.18622755036692853,-0.6502889151532117,-0.702075480879643,0.5202616736860851,0.5338913797184724,-0.2684149301294278,0.1251554874744487,-1.5370644748451987,1.1772408757692467,1.1447602023944132,-0.034449120497750674,-1.255570930332745,-0.8758365367505213,0.5836531950323115,0.48232329414828956,0.6551650717426376,-0.37706538253820593,1.4944855194124593,-0.33990164288061875,0.1893951922771657,-0.372356270405944,0.7686269219131421,-0.1718885558844109,-0.3179696268067665,-0.028227909781085074,0.13428757105610306,0.17235867528369686,0.21173183464551157,0.20698240527046152,0.14525842311060747,-0.6583607133621275,0.738805734502536,0.06191695658791659,0.16552516222077548,6.54
380,-0.6870630394920715,-0.7882310582810916,0.19031882349582596,0.029479940341767093,0.8272753340024284,-0.40320380137821243,0.8766122487946154,0.3671729212790173,0.5529222754959242,-0.5178445624469318,0.31354678560623045,0.3322831072062008,-0.8280769789608191,0.07341155278875773,0.399619708354492,0.8195578581118449,0.7190379145083685,-0.5819468740855075,0.2557328550149488,0.15606740564529112,0.19275914833385382,-0.8105700323652979,0.35904150957953146,0.7735733903914572,0.5598063238202773,1.7078564407754917,-0.20419836175306502,0.7489985069897902,0.23172651807966385,-1.564001449884587,0.08093628312559208,-2.0794084359766636,0.5515910235287259,-0.9091352817845398,0.9269390674681202,-0.3649274247834392,-0.8119319656460863,0.24999097448209648,-0.5436240789198974,-0.6769746953321591,-0.20695303840382837,-0.05691070340852875,-0.036799991226812975,0.04257089774183751,0.020488250283638397,-0.05563857446503942,-0.4223878813049295,0.01343744129328554,-0.7227227980210387,-0.8454672296277376,5.79
146,-0.231515564176471,-0.12736801240657405,0.2945354965681929,-0.15479840565692815,-0.25039192164880636,-0.2555756882808147,0.7067116057379316,1.3130049941431092,0.2745145202155897,0.5853735996122451,-0.45837334455161605,0.6512041772570346,0.48376017859078824,0.2998041315315763,0.6869681690981431,-0.02009788548089411,0.6576907879987047,0.39127087207721795,-0.5568257738827622,0.24778679246392793,0.6373006259503439,0.5202505207367403,0.6562211898561868,-0.19803137410163185,0.45552482926839477,-0.5034682817034085,0.11641161623198927,-0.6542000991359843,-0.7946757170582468,0.5357916858221442,0.5026767020414128,0.5354953806085727,-0.44871388471610874,1.0857560675650624,0.13516362350015831,0.6606368243688486,1.5302939034968057,0.19352119703704726,1.3997527693542278,-0.30345459708202005,0.18098044159879684,0.40709215270553084,0.42439147824435486,0.4195176794794826,0.468541067814992,0.41097921510426366,0.11524891787545082,0.01343744129328554,-0.7179557829037198,0.9173307333101864,8.0
640,1.4388251786473976,1.458703297692268,0.3763283405816022,-0.15893545793905234,0.3293848617021588,1.3683335557905607,1.0872204178355573,-0.464825879950053,-0.5280015694685651,1.04113433085329,0.35697716685791,1.1743052561085587,1.2924781364203588,0.6522905428389749,1.0233605683553402,-0.07744389936632516,-0.3005098368569957,0.7331655975497253,0.1470686337118398,-0.0325692940365794,1.2511798442245503,1.3783390085252856,0.9591441569729791,-0.19525317481791807,0.4247409808690389,-0.03647676944850041,-0.21859858038981572,0.7489985069897902,0.7916900365333255,1.7724972400137666,0.8414089652307379,0.47188892279482275,1.0609196199002573,-1.6233865777450673,1.718714511436082,1.3581161389653125,3.731863484504111,0.8656739459267406,0.0775036304558521,0.46777731562616826,1.0409695189360177,1.1657912657569283,1.2219551483859983,1.1874682518664472,1.24901360401229,1.2759878962161246,1.796368887285757,0.01343744129328554,-1.2775069308399907,1.4058884947753234,7.19
1965,0.072182752700596,0.004804596768329457,0.13608714612736472,0.39041319787075596,-0.448719920887401,-0.10794757518341694,-0.27052461639572634,1.0429884469633846,0.6041895607413067,-0.021244635990544457,-0.23713046049386452,-0.4917360445788853,0.012318701218965352,0.7661366616604226,-0.14897192459102548,0.2712318321591715,0.898077840000747,-0.2189104810295962,-0.389077763891784,0.4875299038938013,-0.4801739743965305,0.09636822398808541,-0.095661192735452,0.044025566763772936,0.10628088926581732,0.8978857329960022,-0.3956918690226074,-0.2532862116714773,-0.16453096545856444,0.4315245214528848,0.31848069944248686,0.5265395323580048,-0.3402097434562608,0.5945516673944927,-0.9733219980549882,1.119070889780901,-0.28551607950712854,0.7678737656429035,0.37630370276918623,-0.4098981483968268,0.11933357691159986,0.03669135332821252,0.016897659140072848,0.06969734842954885,-0.00019633262745040846,-0.0015934547812224576,-0.5731050403620579,-0.34924670531133967,-1.2775069308399907,0.9170740499373221,7.51
284,1.286976020208864,1.458703297692268,0.785901865285255,0.48658739173520155,-0.21031353640433498,1.6635897819853562,2.992503992989345,0.4233826522786014,-0.8197209536893348,1.8643026712745954,2.140312183166355,2.351548084615015,1.4014272566185437,1.8694430463709943,2.6635875882565356,1.8408376400099338,-0.04677714850954637,1.7470913784501274,2.470611757697443,1.9154685840072596,2.128118867438265,1.2754244484456672,2.704509871599814,1.9746164555394563,-0.09375819221773234,-0.49099415913138156,0.6206206593723924,1.5508262819188043,1.9702790224673499,-0.979136386661028,-0.24971902130398693,-0.0063731786383798015,1.974958064306933,-1.671421019889472,1.8770696002296743,-0.493056306012577,-1.109657627417742,-0.23943973866769291,-0.12248066991134,-1.613677946902456,1.4851349398492473,1.4489751718256298,1.4571469308566292,1.514399945890531,1.5174542410676954,1.6002672420917252,2.363506749400907,0.738805734502536,-0.2412690500546708,-1.3213047306945565,5.05
445,0.22403191113912949,0.40132242429304,0.3187958532185939,-0.039723953234032876,-0.37754314971410163,0.48256487720617414,0.15893519332286132,-2.053462475476096,-0.8096244354153429,1.33774146547075,1.0191769692885844,0.4096859186660843,1.3198276727223262,0.055946092905043515,0.39810467218461476,0.09094649779577754,-0.6877222698165182,1.0905724152528893,0.6157717988408741,0.2151458415153202,0.5885566190254934,1.3534833480771051,0.3734706703822726,-0.008671854537553564,1.1945581709250697,4.9036399658095216e-05,-0.17081075004120494,0.1476276757930297,-0.11811963761223718,-0.16518252749685688,0.8856423680744121,0.5074481818627323,0.6803061039035353,-0.6980914961064933,1.0852941562617124,0.42946020337542795,0.6254681869931715,0.6432882987521736,0.15514459412782072,-0.3673207278709042,0.9039859316993982,1.0892108790078274,1.1427837033414614,1.0744556755293284,1.1360366360208047,1.1570902794369362,1.6692015201044708,0.3761215878979107,-0.754453372329859,0.5031717936617844,7.11
1329,-0.9907613563691385,-0.9204036674559951,0.4710453648878803,0.044958799863257584,1.5165441646854767,-0.9937162537678035,-0.6032141833678247,-0.8226579067598003,-0.19278656223418833,-0.23293940647271422,-1.0217603631867906,-1.6131981142078282,-0.6268113193802084,0.08437141717397877,-1.9455246434166171,-1.520571420820679,-0.3475690915815936,0.6797991553393138,-0.35434830757781255,0.1639200895518301,-2.1953171273522587,-0.8139363459728527,-2.1320116775829847,-1.1161395312534386,1.1970629943600972,3.7548138053966515,-1.2451841848460106,-1.4560278740649983,-1.652505277393587,-0.07456947318134842,-2.1597125883943,0.6562013359338481,-0.2794402727729826,1.1400067354993968,-0.49825673167421114,-0.1162995055846382,-0.32615802252121423,-0.4945014316437362,-0.7553721616616301,-0.30345459708202005,-1.1599892359580546,-0.6343462459933105,-0.662112093118209,-0.6266327475769797,-0.7217119390021225,-0.760654598662848,-0.5970041189424893,-0.7119308519159648,-0.19351661732289047,-0.4431532100649135,6.44
2466,0.983277703331797,0.930012860992654,0.12561509530347012,0.3913825797649118,0.07613553388200313,0.9254492164983674,0.6632606745564524,1.395691242557596,1.6519251331015645,-0.01116779236672885,1.7535200245874705,0.5693868670976653,0.0026987513579737267,0.8680975780500216,0.5961425665883525,1.4706721337182047,1.319795550484924,-0.2000792966671031,1.3945296019725333,0.698921606528089,0.5512732587116423,0.08091043410950716,0.5861722956032823,1.4800579806680552,0.736131320859615,1.0304475300119973,0.5547912898958083,0.9494554507220437,0.9311831328245099,0.5449813713525697,0.3549186849939768,0.5787671880358298,-0.6416129598108119,0.2499567408204478,-0.023191465293434042,0.27723042439511114,-0.5751729438367684,0.6049948605722416,-0.3789311256763274,-0.024766026366890594,0.8742856970566537,0.6620581385346842,0.5742724409959862,0.5015586941556737,0.3922133377517948,0.5043798932819464,-0.34198688554976625,0.01343744129328554,-0.14648067628343361,0.6167067386573049,7.37
