,ATSC4c,ATSC2v,SCH-7,ASP-7,hmin,ETA_BetaP_s,IC1,IC2,SIC2,BIC2,ZMIC1,ZMIC2,MDEO-11,nHeteroRing,n6HeteroRing,nT6HeteroRing,LipinskiFailures,pChemBL
768,-0.030315039,313.1860585,0.5752243810000001,0.030592536,-0.026191644,0.66935,3.940530648,4.936058163999999,0.846245712,0.802644087,43.17187334,32.41389084,0.550321208,3,2,2,0,5.29
1701,0.559446416,-123.2552932,0.364537774,0.033690631,0.090895849,0.6875,4.079225802,4.697845823,0.8605009,0.820166038,40.64589109,33.48755977,0.166666667,2,2,2,0,6.46
537,0.541845303,24.05842919,0.398558465,0.034068573,0.06839584900000001,0.68,3.84896335,4.697845823,0.8605009,0.820166038,35.41151109,27.14751939,0.166666667,2,2,2,0,7.15
473,0.553267353,-177.10479109999997,0.6942323990000001,0.029802528,-0.027539919,0.68966,3.7288840710000004,4.42875844,0.784704339,0.734037451,48.21021665,35.61663249,0.0,3,2,2,0,7.19
2740,0.175765103,894.2737991,0.579355518,0.026643449,-0.02232187,0.63393,3.5700865,4.655282146,0.8206863670000001,0.7849415479999999,46.43979268,31.59319807,0.850177526,1,0,0,0,6.52
732,-0.02872059,41.86963968,0.762861338,0.027315414,-0.119240399,0.65385,3.478212946,4.25869497,0.800216556,0.7317120309999999,51.66503199,35.34606192,0.0,3,0,0,1,7.13
565,0.30439077600000003,315.0081976,0.47214987,0.028518096,-0.04503785,0.65,4.017933392,4.691830766,0.859399127,0.79924008,56.65082113,43.88044005,0.550321208,1,1,1,0,6.23
559,0.22627540100000001,215.70464219999997,0.43021348299999995,0.028915081000000002,-0.01902374,0.64655,3.950195892,4.632014074,0.848442548,0.7890504759999999,51.98104127,38.21013141,0.550321208,1,1,1,0,6.29
519,-0.190744845,-45.568776,0.77575305,0.031991625,-0.22958191600000002,0.63281,3.5348838330000003,4.8780852789999996,0.839984011,0.78314774,57.7007725,31.60344674,0.0,3,2,2,1,8.7
1488,-0.261280858,-532.0443044,0.780883076,0.02620081,0.09569579800000001,0.6875,3.213456377,4.256328386,0.7621050970000001,0.695598852,66.56533147,39.73934896,0.0,4,1,1,1,6.89
2524,0.104570646,292.74928969999996,1.157451757,0.026262335,-0.036533972000000005,0.66406,3.9132147760000002,4.5799654389999995,0.803440728,0.748489875,51.09163744,35.09495987,0.0,2,1,1,0,6.92
