,ATSC4c,ATSC2v,SCH-7,ASP-7,hmin,ETA_BetaP_s,IC1,IC2,SIC2,BIC2,ZMIC1,ZMIC2,MDEO-11,nHeteroRing,n6HeteroRing,nT6HeteroRing,LipinskiFailures,pChemBL
1555,-0.237010702,-460.32100819999994,0.7636241779999999,0.02654091,0.081426679,0.65972,3.4420648889999996,4.348400733,0.7521415290000001,0.691825373,72.80511307,43.46406822,0.5,3,1,1,1,6.92
1437,0.05230534,-364.4346396,0.9426019520000001,0.026507124,-0.13619177300000002,0.64375,3.7744597160000004,4.822181959,0.792149716,0.742805157,67.79809163,39.18174053,0.071428571,3,3,3,1,7.41
2030,0.865662319,595.1620521000001,0.7000694270000001,0.028168315,-0.122426146,0.68125,4.064488348,5.239097918,0.849134782,0.817409637,50.14551692,34.77427015,0.0,3,2,2,1,7.07
2128,0.189676027,148.6604489,0.666177742,0.030346917,0.018390653,0.69231,3.774429343,4.628848958,0.833337819,0.7935772740000001,38.10521642,28.43499115,0.166666667,3,2,2,0,6.88
1296,0.028094378,885.0576771,0.7196474690000001,0.028418142999999996,0.00028122900000000003,0.65323,3.92539244,4.857832668,0.840257813,0.80663168,42.64357884,34.408807200000005,0.2,3,1,1,0,7.72
353,0.168778467,497.01073160000004,0.779307152,0.02685186,-0.007074239,0.69167,3.83856294,4.74346519,0.840465283,0.8030392829999999,43.04142974,35.5125253,0.0,3,2,2,1,8.29
1409,0.02391623,-125.2272952,0.585920255,0.028811489,0.18168194399999998,0.60345,3.6077126489999998,4.389422089,0.781771848,0.735766142,55.95566974,37.92130821,0.5,1,0,0,1,4.7
1856,0.6404757529999999,226.9583933,0.8253569759999999,0.028885766,0.082343789,0.69828,3.902569011,4.860902343999999,0.870355413,0.829791416,39.79617891,31.0082086,0.166666667,3,2,2,0,7.8
904,0.09856268300000001,966.4212782,1.142275055,0.026233245,-0.234983584,0.66935,3.614409345,4.685487053999999,0.7932239440000001,0.7569660509999999,43.04788432,31.78812884,0.0,4,0,0,0,7.16
221,0.172364696,227.05087169999996,1.093668495,0.026141112999999997,-0.290139053,0.7058800000000001,3.979096766,4.943850823,0.843951325,0.807958561,46.56659554,35.83163307,0.0,3,1,1,0,6.36
343,-0.08187079,471.525406,0.6397413439999999,0.028293206,-0.037048908,0.6413,3.9121560680000003,4.290534447,0.823605501,0.768229768,37.10768392,32.15444852,0.0,2,1,1,0,6.12
1175,0.126510443,228.9669147,0.365163886,0.029613237999999997,-0.036680813,0.6724100000000001,3.7867776689999997,4.94240041,0.8588179020000001,0.819170214,41.70531082,29.587078899999998,0.454280148,2,2,2,0,5.94
750,-0.214040013,116.08653429999998,0.6168910479999999,0.030394411,-0.030142139,0.67969,3.9109357910000004,4.894630944,0.835549133,0.795907677,46.24170636,33.15932885,0.14285714300000002,3,2,2,0,5.54
2061,0.5518301729999999,71.29919936,0.682033578,0.030677769,0.033429232999999996,0.69444,3.897197958,4.735199728,0.857272855,0.808333064,36.50073034,27.934593300000003,0.166666667,3,2,2,0,7.0
2046,0.16811969100000002,-16.30676961,0.528555751,0.030223276,0.132074566,0.66071,4.0809478960000005,5.009702884,0.901903456,0.849848644,39.534780600000005,27.65801157,0.0,2,2,2,0,5.24
1208,0.20378702699999998,3.839501274,0.292643595,0.030899013,-0.01287916,0.6724100000000001,3.6987241969999998,4.70619879,0.8177742459999999,0.7800213559999999,43.95693999,32.21542775,0.454280148,2,2,2,0,5.9
1666,-0.056566728,784.9015403,0.388885173,0.033918192,0.181860567,0.59375,3.588600801,3.8676705680000003,0.7127684959999999,0.678486355,44.53561049,37.04713839,0.14285714300000002,0,0,0,1,4.76
1172,0.12662004699999999,969.7789244999999,0.528790089,0.025733473,-0.337786045,0.66667,3.72249745,4.827771805,0.801640145,0.7703743820000001,51.89182348,35.90314609,0.46415888299999997,2,2,2,0,8.0
1252,-0.000122122,114.5103468,0.928837597,0.027742615,-0.128070015,0.67742,3.590664883,4.722027548,0.820524736,0.7628693679999999,52.46002737,31.33996274,0.0,5,3,3,0,8.96
2483,0.403594712,405.78086160000004,0.37704804299999994,0.028369057000000003,0.066761582,0.74138,3.5176713239999997,4.007467242,0.7137443170000001,0.682660692,51.80247215,46.02814626,0.0,4,4,4,0,5.62
1828,0.078590249,214.76594869999997,0.692612282,0.028206879,0.113040911,0.68478,3.895714935,4.787143961,0.9121970429999999,0.837756086,35.47745618,24.54149744,0.0,4,2,2,0,4.58
2801,-0.23296548,185.70469530000003,0.6231606789999999,0.033239749,-0.17543581100000002,0.6451600000000001,3.8079219789999996,5.007985628,0.858577072,0.8130016609999999,47.2459261,27.56038858,0.0,3,2,2,0,7.33
647,0.316041723,-385.8502403,0.9319165770000001,0.027164297999999996,-0.109452815,0.65476,3.3778024089999996,4.458504221,0.729882356,0.6794177859999999,86.56531329,47.9606282,0.0625,3,2,2,1,7.34
1939,0.265864786,-149.47934809999998,0.8494342779999999,0.027283795,0.030294785,0.7069,3.916947198,4.577158442,0.8334451709999999,0.7702393390000001,45.45536724,35.38977843,0.0,4,2,2,0,7.33
517,-0.20116537199999998,652.1916282999999,0.761768324,0.026458176,-0.10469868,0.74265,3.731835123,4.643983304,0.7861976159999999,0.74672093,52.07218259,37.83047871,0.5,5,4,4,1,8.28
171,-0.075406951,14.05526488,0.645297212,0.029243656,0.028055421,0.6470600000000001,4.125814584,4.803508855,0.8600789809999999,0.796149856,56.60125417,39.79912344,0.430674364,2,1,1,0,7.92
2338,0.06303896099999999,296.00740299999995,0.835016573,0.028766299,-0.174844518,0.69118,3.6821341110000003,4.570737641,0.767649806,0.733804894,54.65033175,38.90672743,0.0,4,2,2,0,7.8
959,0.393980571,-289.1341325,1.024175474,0.028502567000000003,0.052198917000000004,0.69167,4.055361728,4.99095696,0.8798629609999999,0.8257166659999999,38.85006673,27.96106732,0.0,3,1,1,0,8.22
1844,0.116347948,801.5229529000001,1.1802096290000001,0.025951024,-0.079737145,0.68939,3.6031567410000003,4.863087593,0.816749623,0.778352115,49.21753016,30.67284096,0.166666667,3,2,2,0,5.97
2000,0.7955307340000001,581.8783908,0.7730868240000001,0.028529851000000002,-0.19012700899999999,0.70139,3.775170182,4.781923518999999,0.7883041890000001,0.754264457,52.15880835,35.05091978,0.0,4,2,2,0,6.0
1941,0.5114884510000001,471.97977369999995,0.70889824,0.028584743,-0.10762097699999999,0.68421,4.034130591,5.021910128,0.830837637,0.79436369,49.87003731,36.25898428,0.0,3,2,2,0,8.6
2359,0.125463745,378.4021443,0.815087714,0.028958976,-0.147570389,0.69444,3.632573397,4.814550362,0.788169123,0.7572962609999999,51.90438914,36.37034203,0.0,4,3,3,0,6.43
487,0.591265229,-1.6681286309999999,0.742344922,0.029564272000000003,-0.11253532599999999,0.69643,4.03485748,4.792917598,0.867722248,0.808148688,39.05031409,29.35771516,0.0,4,2,2,0,7.66
1835,-0.054707399000000004,-432.1828607,0.26218869699999997,0.03861186,-0.11185527699999999,0.63542,3.291611664,4.305911448,0.7887105740000001,0.74479217,49.44407792,31.36419225,0.0,2,2,2,0,5.16
1922,-0.132632084,433.45716280000005,0.830315163,0.028843525,-0.125864538,0.68382,4.071295994,5.1927119280000005,0.875559249,0.828608393,43.50537364,29.29056056,0.0,4,2,2,0,6.17
