,ATSC4c,ATSC2v,SCH-7,ASP-7,hmin,ETA_BetaP_s,IC1,IC2,SIC2,BIC2,ZMIC1,ZMIC2,MDEO-11,nHeteroRing,n6HeteroRing,nT6HeteroRing,LipinskiFailures,pChemBL
2587,-0.429353821,924.3529352,0.312859459,0.026552551,-0.047526022,0.675,3.8590641260000003,4.680832987,0.8211354240000001,0.784613181,43.74845129,36.15137484,0.5,3,3,3,0,6.51
2469,0.549128373,166.06299280000002,0.8059705,0.030311509,-0.14614981800000001,0.6333300000000001,4.031059238,5.41566147,0.847214103,0.8099395859999999,59.05986795,36.81489414,0.0,3,2,2,2,8.9
611,-0.055025077,582.7232255,0.9931875440000001,0.029283097999999997,-0.073752624,0.69853,4.022809613,4.958417202,0.8428893540000001,0.803643027,46.90769612,37.38853519,0.333333333,4,2,2,0,7.0
2398,0.791424424,713.8655221,0.734090118,0.028555426000000002,-0.179237056,0.67361,3.659034117,4.825252753,0.784626206,0.754851869,51.41185759,33.75556219,0.0,3,2,2,0,7.26
1087,0.116774789,719.6572752999999,0.45401584700000003,0.027912067000000002,-0.081612925,0.68421,3.89817855,4.992299094,0.817267595,0.787447509,50.99921327,36.046494200000005,0.166666667,3,3,3,0,7.13
2454,0.24675487100000001,-100.62510379999999,0.790221708,0.027174353,0.024873866,0.72414,3.938003326,4.699297892,0.8507730929999999,0.7877083159999999,45.83772294,32.86875951,0.0,4,2,2,0,8.19
53,0.278413925,448.2217841,0.528844613,0.025580609,0.00951566,0.70192,3.7819720880000003,4.6211755430000006,0.83662962,0.792261732,36.47292752,28.46823256,0.0,4,4,4,0,7.6
1014,0.539363477,-53.18618207,0.63914552,0.031338614,0.034015653,0.7,3.677019832,4.569413652,0.832034938,0.790370065,37.93115915,28.1713133,0.166666667,3,2,2,0,7.82
1011,0.06942934099999999,855.2720191999999,0.457907199,0.030862567999999996,0.079685965,0.64773,3.396757005,4.248529327,0.787885615,0.754709572,33.8858984,27.980115299999998,0.083333333,2,0,0,0,6.81
1732,0.43000262899999997,-181.0807579,0.398558465,0.033367115,0.083320618,0.69,4.059599126,4.707677244,0.873034147,0.829923174,34.89834682,27.61646474,0.46415888299999997,2,2,2,0,7.12
303,-0.293489658,613.4184818,0.551455124,0.02941953,-0.011493511999999999,0.66176,3.9051151789999996,4.9175456230000005,0.8505863440000001,0.797018703,54.71899444,34.45591863,0.5,2,2,2,0,7.25
278,-0.263753086,-352.5034648,0.5819100220000001,0.029447632,0.08495700699999999,0.66667,3.698696845,4.52025687,0.861341331,0.783653333,48.80847569,34.21943652,0.5,3,2,2,0,7.3
910,0.190663163,643.0987451000001,0.885748103,0.026909482999999998,-0.20576920899999998,0.67188,3.921192132,5.06934028,0.8808756520000001,0.8216210540000001,43.67558104,31.63971205,0.5,4,0,0,0,7.7
632,0.06795559799999999,209.9164867,0.801557491,0.026217068,0.058844167,0.74138,3.919103493,4.970573096,0.910456151,0.833180158,47.70755353,29.11557203,0.0,5,3,3,1,8.3
1522,-0.08909189699999999,7.305086675,0.7107929609999999,0.026544755,-0.063435399,0.69355,3.477973337,4.407653125,0.7695032009999999,0.7167210359999999,58.18300551,36.65462456,0.0,4,2,2,0,5.8
449,-0.06937005,-329.71185310000004,0.332278812,0.043197577,-0.08446427,0.60714,3.378368322,4.595728751,0.8142887759999999,0.768866242,54.88165957,35.08529747,0.0,2,2,2,1,4.49
1807,0.11537465300000001,1116.4201480000002,0.751131192,0.026971667999999997,-0.333626307,0.6875,3.735582922,5.028479328,0.8412654909999999,0.80482357,49.58252137,31.97810932,0.166666667,3,3,3,0,8.52
659,-0.165898344,257.2675294,0.566806901,0.027502386,-0.128229007,0.70714,3.772295839,5.028072575,0.834899616,0.7964780290000001,49.57003778,31.08894804,0.0,4,4,4,0,8.48
791,-0.079753289,45.71864814,0.526760352,0.030375385,-0.137894154,0.66406,3.678004615,4.524372821,0.80164566,0.747177835,58.92460738,39.02650699,0.0,2,0,0,1,6.17
1502,-0.187215723,-147.78100080000002,0.6386241779999999,0.026112776,-0.022050884,0.675,3.5197472189999996,4.347587661,0.7827019740000001,0.719276006,58.91497099,38.22186722,0.5,3,1,1,0,6.31
1017,0.604579834,84.34547295,0.7182342820000001,0.030602932000000003,0.024451562000000003,0.70192,3.8293476760000003,4.685971707,0.85325875,0.810531076,37.45756672,28.85468288,0.166666667,3,2,2,0,8.52
2102,0.597793996,85.7693404,0.790754573,0.030487128999999998,-0.026239036,0.69444,3.8451755210000003,4.938721876000001,0.8842891740000001,0.8430757759999999,36.132582299999996,25.60714323,0.166666667,3,2,2,0,8.1
2486,0.787634851,785.8885874,0.8241408859999999,0.027499535,-0.157100695,0.66477,4.167484049,5.407654324,0.857843021,0.82310094,50.97464232,36.15889642,0.0,4,3,3,0,7.9
1089,0.017020288,-319.8535942,0.732242052,0.027760612,0.184356379,0.62069,3.06466301,3.850115045,0.709533209,0.651800636,68.34020751,45.36543896,0.5,1,0,0,1,4.62
2297,0.28670892800000003,350.8767371,0.7730868240000001,0.028187711,-0.16855824,0.6875,3.711087094,4.832595471,0.7911232090000001,0.758049503,51.58659014,33.76437604,0.0,4,2,2,0,7.31
822,0.32037605,900.4743177999999,0.658969047,0.026552509,-0.119060321,0.69286,3.453477275,4.721376768,0.77559024,0.74471427,53.18875228,35.0544733,0.0,4,4,4,0,7.05
56,0.106222228,354.0266147,0.8539845340000001,0.027339854,-0.22977857,0.65833,3.735781544,4.628848958,0.833337819,0.764431553,52.61417975,33.19214648,0.5,3,1,1,0,6.73
2584,0.21230834399999998,224.70701380000003,0.835527937,0.026925974,-0.027016029,0.67143,4.096233088,4.941767426,0.847224517,0.793371532,51.87615302,33.63635299,0.083333333,3,2,2,0,8.36
1495,-0.17851931,-578.3601196000001,0.770070033,0.026126333999999998,0.087838747,0.67742,3.45302974,4.270779392,0.752901825,0.696782867,60.78448553,39.12428793,0.0,3,1,1,1,6.16
2325,0.381776136,408.6486569,0.722703067,0.028825634,-0.196461365,0.69286,3.556790258,4.763358429,0.7824866540000001,0.747188858,52.05540304,33.50630992,0.0,5,3,3,0,7.96
2087,0.873622514,332.467275,0.7000694270000001,0.028035884,-0.07926894400000001,0.68571,4.094680434,4.9079011,0.8343020409999999,0.7954555520000001,47.96048616,35.35908041,0.0,3,2,2,0,7.82
1328,0.014116507,-15.86264572,0.921837085,0.028891713,-0.088192621,0.67308,3.6771046860000003,4.772569969,0.859212103,0.8164533559999999,40.87647844,28.64569679,0.2,3,0,0,0,6.28
1282,-0.06065065,601.6618932,0.56454656,0.029592351,0.005855536999999999,0.72222,4.002529763,5.102746985,0.929148485,0.869238493,37.04520262,24.88318959,0.0,4,3,3,0,6.64
1321,-0.188364157,837.3615875,1.7437150030000002,0.026474871,-0.10777338300000001,0.68966,3.71465207,4.722557954,0.824480366,0.784169632,40.13362368,30.4402253,0.2,3,1,2,0,7.89
2818,-0.204297192,-281.13055410000004,0.563661105,0.035559642,-0.142200964,0.65517,3.6782426910000003,4.770826501,0.845313265,0.792184511,49.42767711,29.957963300000003,0.0,3,2,2,0,5.7
929,0.221486415,543.9254359,0.903007001,0.026982816,-0.16464581,0.7,3.770097466,4.892738143,0.8541910070000001,0.800968905,42.90721445,29.05260131,0.0,4,0,0,0,8.27
1585,0.116576623,-365.9604751,0.881475308,0.027113722000000003,-0.12874181,0.66667,3.719069258,4.699885068,0.7667919809999999,0.717037357,74.40239305,44.70732569,0.5,4,2,2,1,5.64
2234,0.18309426,257.90157830000004,0.72950043,0.029242054,-0.166946137,0.68243,3.547764617,4.705672119,0.765181401,0.7361449390000001,57.80569117,38.90509131,0.0,4,2,2,1,6.75
38,0.24306983399999998,604.7799854,0.76810699,0.026866694,-0.29434004199999997,0.66667,4.011818815,4.740843279,0.80929646,0.763488024,46.40803184,32.78954451,0.0,3,1,1,0,9.0
938,-0.023989651,217.6914015,0.8814474409999999,0.028006717,-0.004878879,0.66964,3.943030336,4.819235678,0.8628949029999999,0.812586261,39.04352731,28.46259454,0.2,3,1,1,0,6.19
15,0.366907463,752.0173467,0.709181425,0.027012882999999998,0.019073128999999998,0.67308,3.823562332,4.607156405,0.82943248,0.7831779640000001,36.34472245,27.363124300000003,0.0,3,1,1,0,8.4
2224,0.944776918,274.2199609,0.758994992,0.027660584,-0.121599939,0.6973699999999999,3.9103094489999997,4.771074422,0.789338737,0.7546866,54.79952441,38.07590333,0.0,4,2,2,0,7.85
1217,-0.12693906,-5.00024665,0.747646495,0.028519545,0.094412242,0.65217,3.6004323030000003,4.45757516,0.869044493,0.7858323190000001,43.57872412,27.103083299999998,0.0,3,2,2,0,7.94
2778,-0.20389962399999997,602.9796456,0.9457897259999999,0.031646759,-0.20785604100000002,0.65625,3.752679347,4.900915909,0.836622023,0.785604031,51.702007,30.32204062,0.0,3,1,1,0,7.75
664,-0.115756894,463.83264,0.672147763,0.027071326,-0.120649917,0.70714,3.825537236,5.102761082,0.847301467,0.809476295,44.61088047,29.53752098,0.0,4,3,3,0,7.66
660,-0.16769393300000002,188.5522782,0.542399133,0.027667964,-0.14906234,0.70139,3.7630814089999998,5.107621805,0.839039504,0.802287668,50.05598927,30.93668033,0.0,4,4,4,0,8.82
2683,-0.274522086,188.56196509999998,0.711495975,0.029868855,0.059757863,0.62931,3.8443728210000003,4.85366069,0.859990143,0.805938933,50.11444765,33.48144907,0.0,3,1,1,1,6.58
874,0.00429048,467.18819510000003,0.552549367,0.026228303999999997,-0.14223106300000002,0.67969,3.930161383,5.004364185,0.854281396,0.81646812,42.43823773,29.02041747,0.1,3,3,3,0,7.63
1264,-0.32311219,721.9730037,0.389865817,0.030724787000000003,0.032217616,0.69,3.798382686,4.822156249,0.873015689,0.8322074840000001,35.25514315,25.52894689,0.090909091,3,3,3,0,6.21
2014,0.840473756,84.93971166,0.676574775,0.028852155,-0.161991095,0.69697,3.5805926589999997,4.50277432,0.7533149490000001,0.7185140729999999,54.04761856,35.85760209,0.0,4,2,2,0,5.72
1133,0.590118053,849.1134194,0.521347056,0.026338406,-0.10571428599999999,0.67188,3.964072465,4.826515973,0.8426297140000001,0.787451968,47.62263963,32.06229959,0.0,3,3,3,0,8.44
1068,0.37129549799999995,746.3493739,0.49568251399999996,0.026987956,-0.073157203,0.6875,3.845737297,4.887900607,0.8344002159999999,0.7974669459999999,42.86216908,31.58844234,0.166666667,3,3,3,0,7.41
2123,0.16889304800000002,92.90707332,0.780347247,0.030553518999999998,0.09770103,0.63971,4.1308265010000005,4.65366069,0.824553379,0.76580581,53.60965201,38.6957105,0.860153255,2,0,0,1,5.3
2481,0.672402292,1134.221565,0.8241408859999999,0.027226312000000003,-0.17612115,0.66667,4.074133162,5.353940312,0.86495833,0.8267697190000001,44.87527108,31.15258,0.0,4,3,3,0,8.0
280,-0.258956958,-271.1436442,0.5819100220000001,0.029447632,0.070001146,0.66667,3.549370622,4.525107746000001,0.856152012,0.780942868,50.640806,33.7891553,0.5,3,2,2,0,6.24
2408,1.020072677,574.0834535,0.846678229,0.027039257999999997,-0.13081195699999998,0.6973699999999999,4.011143116,4.9613040669999995,0.8208108159999999,0.7847770479999999,51.22257827,36.62800175,0.0,4,2,2,0,7.09
1553,-0.203594831,-151.9399639,0.7636241779999999,0.026773869,0.041602416,0.65278,3.4395179639999998,4.438627221,0.757705978,0.700115495,72.90869045,42.13962508,0.5,3,1,1,1,6.96
2839,0.047627561,-153.58148559999998,0.627807711,0.027127765,0.259426532,0.65476,3.838039817,4.356558335,0.916227426,0.833182138,38.91707317,32.69451622,0.2,1,0,0,0,4.8
1850,0.26023935600000003,314.7515112,0.840344095,0.027851781000000003,-0.12542709900000001,0.69079,3.783475849,4.950930304,0.81329947,0.780922309,55.98566247,36.74167497,0.0,4,2,2,1,7.15
2563,0.055251444000000004,725.8756638,0.512518244,0.028002864,-0.092862925,0.67857,3.7265691810000003,4.824301613,0.8010639279999999,0.768675269,50.08400441,34.16796429,0.0,2,2,2,0,8.7
699,-0.056905232,268.5899253,0.49770202399999997,0.030523105,0.049619515999999995,0.71094,4.084518252,4.979097891,0.8734585640000001,0.822273435,47.35985005,33.3388496,0.5,4,4,4,1,7.07
299,-0.243429895,-330.6704915,0.601551877,0.028755245,0.027593452,0.63971,3.183423495,4.402781234,0.780101598,0.714752142,73.61262203,40.49193216,0.5,3,3,3,1,7.92
1630,-0.14086259,-571.7756322,1.0909481429999999,0.025727705,0.066766384,0.6621600000000001,3.3343800189999997,4.1711895530000005,0.703317196,0.652531668,76.76870179,48.00294194,0.0,3,1,1,1,7.14
